index,gdp_kairi,u_kairi
1980-03-31,0.7523027722509346,-0.08769346127130095
1980-06-30,-0.7364462818340578,-0.10908437691270256
1980-09-30,0.3246281363507242,-0.047087150807476164
1980-12-31,1.2759779883442013,0.031754536526577226
1981-03-31,1.1229772635332314,0.004259767374243495
1981-06-30,1.0492109719273168,0.050561110768314155
1981-09-30,0.5237304897999673,-0.11587819327969306
1981-12-31,0.022584248886259317,-0.10829317211915779
1982-03-31,0.4177686116103807,-0.11317976256199413
1982-06-30,0.08017837249871818,-0.043632884854206466
1982-09-30,-0.5004101805800354,-0.05601005522353475
1982-12-31,-0.09235168391866777,-0.006641519344682489
1983-03-31,-0.3820011955898539,0.14151081672549148
1983-06-30,-0.6318466608050133,0.10215586454638714
1983-09-30,-0.32079595232430425,0.11891409141695108
1983-12-31,-0.6527211715761871,0.022008783887452754
1984-03-31,-0.7724033868637847,0.10492224053436106
1984-06-30,0.21880245806440435,0.07112300444421615
1984-09-30,-0.1306766506739554,0.08401404230322118
1984-12-31,-0.8582482577713102,0.00028720225313394465
1985-03-31,-0.6362135139522329,-0.11008484300739196
1985-06-30,0.07663939800772734,-0.14046293361444784
1985-09-30,0.4119306698031622,-0.10080577334390961
1985-12-31,0.8282415111102948,0.09234905669519033
1986-03-31,-0.2993453902500498,-0.01747302099784287
1986-06-30,-1.171800175275528,0.07319569791586433
1986-09-30,-1.65738144735601,0.18116717174664387
1986-12-31,-1.705127742079593,0.14987427816029264
1987-03-31,-2.55967258404014,0.2893033320069347
1987-06-30,-2.071036641406765,0.39601364337951095
1987-09-30,-1.4976053301522296,0.16638370778845601
1987-12-31,-0.19965972607937088,0.13321117888376177
1988-03-31,0.12303955308918813,0.15585638716471895
1988-06-30,-0.345013288749596,-0.009736927189517353
1988-09-30,0.30689391558240686,0.05894423242489433
1988-12-31,0.2467663276818799,-0.02558105180870962
1989-03-31,1.4819102368024417,-0.04749720451892525
1989-06-30,-0.8033833567566262,-0.04097266217696838
1989-09-30,-0.3065574508186786,-0.11014617550123162
1989-12-31,1.3936843193629311,-0.11579755396291214
1990-03-31,-0.10825942677249456,-0.14863776567352005
1990-06-30,1.4180696452233743,-0.12930540527333712
1990-09-30,2.602476988347835,-0.15167950213243442
1990-12-31,1.7279315690678532,-0.14622493640925383
1991-03-31,2.0688626807844335,-0.14331178857340188
1991-06-30,2.25771619081645,-0.11988541517589679
1991-09-30,1.6146209042217308,-0.09946826956656407
1991-12-31,1.8039586456469303,-0.1821745433774109
1992-03-31,1.113797946994488,-0.1847229272386297
1992-06-30,0.929952137243939,-0.20038491935747071
1992-09-30,0.8585580037064666,-0.16231656611165857
1992-12-31,-0.17574034069458566,-0.10688200663765013
1993-03-31,-0.06322630641427684,-0.10034393221808457
1993-06-30,-1.2747015475139345,-0.038898232881452
1993-09-30,-2.0792266459121023,-0.012011417031938976
1993-12-31,-2.0452702807299494,0.1408743183218184
1994-03-31,-1.2290998471919834,0.19032428330683038
1994-06-30,-2.1334433142366938,0.09681574160115458
1994-09-30,-1.324861705128455,0.17070700420578477
1994-12-31,-2.050363808683886,0.04562920561654371
1995-03-31,-1.3031369599421083,0.05844012178496172
1995-06-30,-0.7283852194888363,0.055969010409059106
1995-09-30,0.12319222208723168,0.09500860411074363
1995-12-31,0.05222111878133706,0.16898332154708084
1996-03-31,0.5559559140748238,0.0979248676642337
1996-06-30,1.5255610655230623,0.058425999499065906
1996-09-30,1.3878985237550268,-0.09964839562051697
1996-12-31,2.2696294709829257,-0.16313661328296059
1997-03-31,2.292151740117454,-0.26548133549611785
1997-06-30,1.295139976035875,-0.35335661721787837
1997-09-30,1.308264726318975,-0.379937254238107
1997-12-31,1.1700905211571966,-0.3648438611275773
1998-03-31,-0.2334301210067169,-0.28745959167315904
1998-06-30,-0.8326908386877552,0.006393761084811267
1998-09-30,-0.8068809931454202,0.08440739968412636
1998-12-31,-0.1625297284421845,0.15426853056190115
1999-03-31,-1.6955094906923818,0.270278272197114
1999-06-30,-1.4881823300580743,0.29330799190381196
1999-09-30,-1.135956805444216,0.21072679974258257
1999-12-31,-1.281636705194955,0.023053821612410097
2000-03-31,0.20081522923172113,0.1340098124957665
2000-06-30,0.47257357498720065,-0.036032214596712464
2000-09-30,0.28742969878456925,-0.13344966945386805
2000-12-31,1.0414913553736804,-0.11793077506375216
2001-03-31,1.5616444542832397,-0.14908034837100992
2001-06-30,0.5628789679107404,-0.03309616625253753
2001-09-30,-0.7764016588058031,0.1339171696324959
2001-12-31,-1.3691038828893554,0.35587574272883504
2002-03-31,-1.4703151296909023,0.269945271583536
2002-06-30,-0.9551340605202241,0.3664023857377776
2002-09-30,-0.9410736384737772,0.4086883322713355
2002-12-31,-0.9754577862479574,0.3300153567728987
2003-03-31,-1.2339656945025257,0.38334027462349596
2003-06-30,-0.885665152721915,0.46474697493949524
2003-09-30,-0.9304829350984978,0.23007975916563428
2003-12-31,-0.19506008349908788,0.1548924618873082
2004-03-31,0.1948730281203126,0.03126178450710615
2004-06-30,-0.12567827351274152,-0.0721657126944022
2004-09-30,0.15588192478124263,0.019903658614706998
2004-12-31,-0.35370701825011563,-0.16719130966321316
2005-03-31,-0.14000011668720003,-0.10812426541243614
2005-06-30,0.35898997030092694,-0.16746436194870018
2005-09-30,1.1182042551189264,-0.2163798415885294
2005-12-31,1.0628285356825362,-0.04926761475556152
2006-03-31,1.0187647338755212,-0.22372268780577276
2006-06-30,1.0185125769608838,-0.27064260816925056
2006-09-30,0.686032468054365,-0.2807850965962002
