実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"298,564.0 ","169,710.9 ","167,423.8 ","141,656.5 ","25,937.9 ","40,325.7 ",362.8 ,"49,733.8 ","29,193.8 ",-314.8 ,"-2,381.9 ","21,510.4 ","23,892.4 ","-14,004.2 ",,"3,162.1 ","301,726.1 ",985.7 ,"5,126.3 ","4,140.6 ","302,711.9 ",,"309,530.6 ","232,570.8 ","77,239.1 ",,"91,121.6 ",,"298,587.4 ",,,
1983/ 1- 3.,"300,698.4 ","169,912.2 ","167,544.7 ","141,633.7 ","26,347.0 ","40,697.8 ",-304.7 ,"50,793.2 ","29,235.5 ",-281.3 ,"-1,690.7 ","21,741.2 ","23,431.9 ","-14,010.5 ",,"3,855.5 ","304,553.9 ",512.9 ,"3,934.6 ","3,421.7 ","305,066.8 ",,"310,546.5 ","232,541.9 ","78,359.4 ",,"91,895.2 ",,"301,676.8 ",,,
4- 6.,"302,998.9 ","170,636.7 ","168,185.7 ","142,133.1 ","24,236.2 ","41,905.7 ",381.2 ,"51,072.7 ","29,029.8 ",-237.7 ,"-1,366.0 ","22,058.6 ","23,424.6 ","-12,659.7 ",,"4,165.6 ","307,164.6 ",849.0 ,"3,933.2 ","3,084.2 ","308,013.5 ",,"312,311.4 ","234,154.7 ","78,485.3 ",,"91,598.8 ",,"302,896.2 ",,,
7- 9.,"307,080.6 ","173,012.6 ","170,497.3 ","144,193.2 ","24,263.1 ","41,853.4 ",116.8 ,"51,589.6 ","29,622.7 ",-377.7 ,-570.6 ,"22,983.3 ","23,553.9 ","-12,429.2 ",,"3,949.9 ","311,030.5 ",789.1 ,"3,895.1 ","3,106.0 ","311,819.6 ",,"314,988.1 ","235,945.2 ","79,393.9 ",,"92,060.8 ",,"307,555.2 ",,,
10-12.,"309,255.0 ","173,566.1 ","170,999.9 ","144,572.0 ","24,446.7 ","42,027.6 ","1,524.5 ","51,982.3 ","29,439.5 ",-286.0 ,"-1,449.6 ","23,948.8 ","25,398.3 ","-11,996.2 ",,"4,483.9 ","313,738.9 ",822.8 ,"4,109.9 ","3,287.1 ","314,561.7 ",,"318,390.6 ","238,981.6 ","79,716.6 ",,"92,245.4 ",,"307,526.2 ",,,
1984/ 1- 3.,"312,154.4 ","174,494.8 ","171,885.8 ","145,301.6 ","24,359.2 ","43,411.5 ",948.4 ,"52,434.3 ","28,849.0 ",142.1 ,"-1,046.9 ","25,063.1 ","26,110.0 ","-11,438.1 ",,"5,117.7 ","317,272.1 ",869.4 ,"4,249.8 ","3,380.3 ","318,141.5 ",,"320,477.3 ","240,643.2 ","80,131.8 ",,"93,309.4 ",,"310,795.4 ",,,
4- 6.,"318,660.4 ","176,546.0 ","173,890.1 ","147,103.3 ","24,178.9 ","43,935.3 ",774.1 ,"53,101.6 ","31,906.0 ",69.5 ,-387.7 ,"25,834.6 ","26,222.4 ","-11,463.2 ",,"5,115.3 ","323,775.7 ","1,003.7 ","4,488.3 ","3,484.6 ","324,779.3 ",,"326,042.9 ","242,832.8 ","83,728.3 ",,"96,376.9 ",,"317,658.6 ",,,
7- 9.,"321,010.1 ","178,488.1 ","175,780.8 ","148,795.0 ","24,295.7 ","45,676.3 ","1,395.1 ","53,165.8 ","28,500.3 ",517.0 ,-617.0 ,"26,505.3 ","27,122.4 ","-10,411.3 ",,"5,266.7 ","326,276.8 ",956.3 ,"4,801.1 ","3,844.8 ","327,233.1 ",,"328,656.8 ","247,850.6 ","80,993.0 ",,"95,626.2 ",,"318,595.8 ",,,
10-12.,"322,193.9 ","178,603.3 ","175,859.7 ","148,753.5 ","24,210.2 ","47,271.5 ",-91.1 ,"52,860.5 ","28,232.0 ",323.9 ,648.9 ,"27,241.2 ","26,592.4 ","-9,865.3 ",,"5,294.1 ","327,488.0 ","1,319.9 ","5,364.3 ","4,044.5 ","328,807.9 ",,"327,741.1 ","247,691.5 ","80,177.1 ",,"97,206.6 ",,"322,141.6 ",,,
1985/ 1- 3.,"326,534.9 ","181,469.2 ","178,698.6 ","151,352.3 ","24,450.9 ","48,162.3 ","1,166.6 ","52,920.9 ","27,151.5 ",117.8 ,502.8 ,"27,116.9 ","26,614.2 ","-9,407.0 ",,"5,156.6 ","331,691.6 ","1,474.4 ","5,603.4 ","4,129.0 ","333,166.0 ",,"332,549.7 ","253,535.8 ","78,899.3 ",,"97,501.6 ",,"324,925.2 ",,,
